# doris-clickhouse-mass.doris.tsv — live Doris outputs for the 413-call mass scalar probe
# engine=Doris (FE doris-0.0.0/P-series pr62767-local, BE apache/doris:be-4.1.2)
# rendered=raw; strings raw UTF-8; NULL->NULL; errors-><ERR:first line ~60 chars> (kept)
# binary/invalid bytes -> \xNN; booleans un-normalized; ai_*/ML/geo/session errors expected & kept
# 6 binary-output fns (aes_encrypt,char,compress,sm4_encrypt,st_circle,st_point) rendered \xNN from hex()
is_valid_utf8	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
jsonb_parse	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
jsonb_parse_error_to_null	NULL
jsonb_valid	0
json_quote	"aBc"
json_unquote	aBc
json_valid	0
l1_distance	0
l2_distance	0
l2_distance_approximate	0
last_day	2024-06-30
lcase	abc
lcm	5
left	aBc
length	3
levenshtein	0
like	1
ln	0.9162907318741551
log	0.9162907318741551
log10	0.3979400086720376
log2	1.321928094887362
lpad	aBaBc
ltrim	
ltrim_in	
maketime	05:05:05
make_set	aBc
mask	xXx
mask_first_n	xXx
mask_last_n	xXx
md5	dbbbbe4975e026e04a687871f296a2b2
md5sum	dbbbbe4975e026e04a687871f296a2b2
microsecond	0
microseconds_add	2024-06-16 13:45:07.000005
microsecond_timestamp	1718545507000000
millisecond_timestamp	1718545507000
minute	45
minutes_add	2024-06-16 13:50:07
minutes_sub	2024-06-16 13:40:07
minute_ceil	2024-06-16 13:46:00
minute_floor	2024-06-16 13:45:00
minute_from_unixtime	0
minute_microsecond	45:07.000000
minute_second	45:07
money_format	5.00
month	6
monthname	June
months_add	2024-11-16 13:45:07
months_between	0
months_sub	2024-01-16 13:45:07
month_ceil	2024-07-01 00:00:00
month_floor	2024-06-01 00:00:00
multi_match	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
multi_match_any	0
multi_search_all_positions	[0, 0, 0]
murmur_hash3_128	-46610570392540912061750269681630830470
murmur_hash3_32	-217427899
murmur_hash3_64	4709487934249619171
murmur_hash3_64_v2	6082119207083974778
murmur_hash3_u128	293671796528397551401624337750137380986
murmur_hash3_u64_v2	6082119207083974778
negative	-5
next_day	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
ngram_search	0
normal_cdf	0.5
not_null_or_empty	1
null_or_empty	0
parse_data_size	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
parse_url	NULL
password	*454E715F026E5D3DAA2FD3CD67DC287D803A7A06
period_add	200010
period_diff	0
position	1
positive	5
pow	9.882117688026186
power	9.882117688026186
previous_day	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
protocol	
quantile_state_from_base64	NULL
quarter	2
quarters_add	2025-09-16 13:45:07
quarters_sub	2023-03-16 13:45:07
quarter_ceil	2024-07-01 00:00:00
quarter_floor	2024-04-01 00:00:00
quote	'aBc'
radians	0.04363323129985824
random_bytes	0x797e5e9cc2
regexp	1
regexp_count	1
regexp_extract	
regexp_extract_all	
regexp_extract_or_null	NULL
regexp_replace	aBc
regexp_replace_one	aBc
repeat	aBcaBcaBcaBcaBc
replace	aBc
replace_empty	aBc
reverse	[3, 2, 1]
right	aBc
round	3
round_bankers	2
rpad	aBcaB
rtrim	
rtrim_in	
search	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = s >
sec	-1.248215651468818
second	7
seconds_add	2024-06-16 13:45:12
seconds_sub	2024-06-16 13:45:02
second_ceil	2024-06-16 13:45:07
second_floor	2024-06-16 13:45:07
second_from_unixtime	5
second_microsecond	07.000000
second_timestamp	1718545507
sec_to_time	00:00:05
sha1	a792075841df16e50563ef4d3aab7424604a505b
sha2	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = s >
sign	1
signbit	0
sin	0.5984721441039564
sinh	6.050204481039787
sleep	0
sm3	c42cf0141ccb8e5cc5ed6a7a475176ccc7f5d3bc23e587ca70f66f49479bc22f
sm3sum	c42cf0141ccb8e5cc5ed6a7a475176ccc7f5d3bc23e587ca70f66f49479bc22f
sm4_decrypt	NULL
sm4_encrypt	\x6d\xe6\x31\x40\x6c\xed\x45\x62\x2e\x18\x9d\x24\xa6\x76\x9e\xa4	# adjusted: binary output rendered as \xNN (from hex())
soundex	A120
space	
split_by_regexp	["", ""]
split_by_string	["", ""]
split_part	NULL
sqrt	1.58113883008419
starts_with	1
strcmp	0
str_to_date	NULL
str_to_map	{"aBc":null}
st_angle	NULL
st_area_square_km	NULL
st_area_square_meters	NULL
st_asbinary	NULL
st_astext	NULL
st_aswkt	NULL
st_azimuth	NULL
st_circle	\x00\x07\xd2\x0a\x0c\xda\x69\xf0\xef\x3f\x03\x81\xc2\xb8\xd6\x4f\xa6\x3f\x11\x4e\x69\xc4\x47\x55\xa6\x3f\xc6\xa9\xf6\xf9\xb3\xab\x45\x3d	# adjusted: binary output rendered as \xNN (from hex())
st_contains	NULL
st_disjoint	NULL
st_distance	NULL
st_geometries	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
st_geometryfromtext	NULL
st_geometryfromwkb	NULL
st_geometrytype	NULL
st_geomfromtext	NULL
st_geomfromwkb	NULL
st_intersects	NULL
st_length	NULL
st_linefromtext	NULL
st_linestringfromtext	NULL
