Signature	Return Type	Function Type	Intermediate Type	Properties
any_value(BIGINT)	BIGINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(BITMAP)	BITMAP	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(BOOLEAN)	BOOLEAN	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DATE)	DATE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DATETIME)	DATETIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DECIMAL128)	DECIMAL128	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DECIMAL256)	DECIMAL256	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DECIMAL32)	DECIMAL32	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DECIMAL64)	DECIMAL64	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DECIMALV2)	DECIMALV2	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(DOUBLE)	DOUBLE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(FLOAT)	FLOAT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(HLL)	HLL	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(INT)	INT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(INVALID_TYPE)	INVALID_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(JSON)	JSON	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(LARGEINT)	LARGEINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(PERCENTILE)	PERCENTILE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(SMALLINT)	SMALLINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(TIME)	TIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(TINYINT)	TINYINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(UNKNOWN_TYPE)	UNKNOWN_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value(VARCHAR)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(BIGINT)	BIGINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(BOOLEAN)	BOOLEAN	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DATE)	DATE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DATETIME)	DATETIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DECIMAL128)	DECIMAL128	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DECIMAL256)	DECIMAL256	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DECIMAL32)	DECIMAL32	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DECIMAL64)	DECIMAL64	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(DOUBLE)	DOUBLE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(FLOAT)	FLOAT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(INT)	INT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(INVALID_TYPE)	INVALID_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(JSON)	JSON	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(LARGEINT)	LARGEINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(SMALLINT)	SMALLINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(TINYINT)	TINYINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_combine(VARCHAR)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(BIGINT,BOOLEAN)	BIGINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(BOOLEAN,BOOLEAN)	BOOLEAN	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DATE,BOOLEAN)	DATE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DATETIME,BOOLEAN)	DATETIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DECIMAL128,BOOLEAN)	DECIMAL128	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DECIMAL256,BOOLEAN)	DECIMAL256	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DECIMAL32,BOOLEAN)	DECIMAL32	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DECIMAL64,BOOLEAN)	DECIMAL64	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(DOUBLE,BOOLEAN)	DOUBLE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(FLOAT,BOOLEAN)	FLOAT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(INT,BOOLEAN)	INT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(INVALID_TYPE,BOOLEAN)	INVALID_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(JSON,BOOLEAN)	JSON	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(LARGEINT,BOOLEAN)	LARGEINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(SMALLINT,BOOLEAN)	SMALLINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(TINYINT,BOOLEAN)	TINYINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(VARBINARY,BOOLEAN)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_if(VARCHAR,BOOLEAN)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(BIGINT)	BIGINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(BOOLEAN)	BOOLEAN	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DATE)	DATE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DATETIME)	DATETIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DECIMAL128)	DECIMAL128	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DECIMAL256)	DECIMAL256	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DECIMAL32)	DECIMAL32	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DECIMAL64)	DECIMAL64	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(DOUBLE)	DOUBLE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(FLOAT)	FLOAT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(INT)	INT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(INVALID_TYPE)	INVALID_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(JSON)	JSON	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(LARGEINT)	LARGEINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(SMALLINT)	SMALLINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(TINYINT)	TINYINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_merge(VARCHAR)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(BIGINT)	BIGINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(BOOLEAN)	BOOLEAN	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DATE)	DATE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DATETIME)	DATETIME	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(FLOAT)	FLOAT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(INT)	INT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(INVALID_TYPE)	INVALID_TYPE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(JSON)	JSON	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(LARGEINT)	LARGEINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(SMALLINT)	SMALLINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(TINYINT)	TINYINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state(VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(BIGINT)	BIGINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(BOOLEAN)	BOOLEAN	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DATE)	DATE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DATETIME)	DATETIME	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(FLOAT)	FLOAT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(INT)	INT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(INVALID_TYPE)	INVALID_TYPE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(JSON)	JSON	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(LARGEINT)	LARGEINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(SMALLINT)	SMALLINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
